剧情编号,角色左,角色右,高亮方 右/左/无/皆,背景图片,背景音乐,播放音效,PlotShock,调用函数,选项,内容
,,,左,,,,,ChangeHeroFavor;王添翼-5,,"Hi, how hard can it be?\nBrother Wang, take the silver coins given by your master and treat everyone to a few good meals.\nAs the saying goes, eating someone's food makes you tongue-tied, and accepting their gifts makes your stance soft. If you buy them off with a few more bribes, they will have nothing to complain about."
,,,右,,,,,,,"Right, then I'll arrange it right away!\nThis time, I really owe you, #PlayerName#, for rescuing me!"
,,,右,,,,,,,"Recently, Brave Brother and his fellow brought some fine wine and delicacies.\nI can't eat fine grain like this pig. Please don't despise it and take it away, #PlayerName#."
,,,左,,,,,GetSpeReward;32,,No problem at all. I'll take my leave then!
229,玩家,郭勇锐,右,,AreaCommon2,,,,,"#PlayerName# has arrived, Brother. The other two brothers have been waiting anxiously for you."
,,,左,,,,,,,Isn't the big conference supposed to start yet?
,,王添翼,右,,,,,,,Haven't you heard? #PlayerName#\nFamed heroes in the Jianghu and many high-ranking officials from various sects will also come.\nNow Jiangling has gathered countless martial artists who wish to witness the prowess of all.
,,戴壮,右,,,,,,,"Yeah, yeah. If we don't hurry over there, we might not even get into the venue!"
,,,左,,,,,,,"Why is this difficult? Let Brother Gu's father, Great Hero Gu, reserve four spots for us, and it's done."
,,郭勇锐,右,,,,,,,"Oh, better not \nMy father has been so busy recently preparing for the grand conference that he hasn't slept for several days.\nI dare not disturb him now"
,,,左,,,,,,,"Well then, what are we waiting for? Let's head to the conference room!……\nRight, so where's the conference being held?"
,,,右,,,,,ScreenBlack,,By Yellow Crane Tower
,无,无,无,黄鹤楼,,,,,,"(This speaks of Yellow Crane Tower, which stands by the Yangtze River, hidden among flowers and willows,\nA phoenix pavilion and dragon palace soar into the clouds, their high railings and steep eaves like cranes soaring towards the heavens, ready to take flight.\nThe carvings and paintings within are exquisite, and the literary treasures leave visitors in awe.)"
,,,无,,,,,,,"(Walking to the top of the tower and gazing into the distance, one can see Jiangling City filled with towering buildings and bustling crowds,\nLooking at the river, the water and sky blend into one color, with vast waves and numerous boats competing for speed, presenting a myriad of scenes.\nAs the poem says,：\nGreat waves of the Yangtze surge to the sky, cities and scenes all captured in a myriad view.\nThe Han River flows north, swallowing the clouds and entering Yunmen, while the Wu River carries the waters of Dongting Lake.)"
,,,无,,,,,,,"(It was just as the sun was setting, its rays gently slanting, and the water shimmering softly,\nThe shadow of the building reflected on the river surface seemed as if it had been tempered and gilded, not resembling any scene from the mortal world.)"
,,,无,PlotImage/比武擂台,,,,,,"(Not even having the chance to enjoy the beautiful scenery, your attention was drawn to a stage set up on an adjacent open area.\nThe stage is built of pine wood, standing about ten feet high, adorned with red and yellow silk cloths, exuding an imposing grandeur.)"
,,,无,,,,,,,"(Dozens of martial artists in various attire stand by the stage, whispering to each other, awaiting the grand meeting to begin.\nA tall and distinguished middle-aged man was greeting guests.)"
,郭勇锐,郭淮,左,,,,,,,Father!
,,,右,,,,,SetHeroMeet;郭淮,,"Brave, these are the three little brothers who entered the Black Market Conference with you?\nHaha, truly a hero emerges from youth. My son has caused you much trouble these days."
,玩家,,左,,,,,,,"Ah, Great Hero Guo, you're being too polite.\nBrother Guo is skilled in martial arts and brave and wise.\nWithout your considerable assistance, we might have struggled to emerge unscathed from the Black Market Convention."
,王添翼,,左,,,,,,,…………Hmm?
,郭勇锐,,左,,,,,,,"Hehe, #PlayerName# is telling the truth, but it still feels a bit awkward to hear."
,,,右,,,,,,,"Hmph, you don't know your own temperament as a father?\nMaster Senior Xu Boping has already told me about the trouble you caused in Leshan Town."
,,,左,,,,,,,"Father, spare me! I was just temporarily foolish!"
,,,右,,,,,,,"Finish the big meeting and we'll deal with you properly, so sit down quickly!"
,,,左,,,,,ScreenBlack,,Yes yes yes
,无,无,无,,,紧密鼓点,,,,"(Not long after, the stand was completely surrounded by onlookers,\nHundreds of Wulin practitioners waited with bated breath.\nAs the rumbling drumbeats crescendoed and shook the heavens, the grand assembly finally began.)"
,,郭淮,右,,,,,,,"Esteemed martial artists and heroes, thank you for gracing us with your presence to participate in this conference.\nI, Guo Liang, have summoned you all to discuss a matter of grave importance to the safety of the Wulin."
,,,右,,,,,,,"As you all may already know, there was also a Black Society Conference held recently in Tengchong Prefecture.\nMany evil forces and heretics, including the Seven Evil People who have clashed with me on several occasions, have since united in their wickedness and become accomplices."
,,,右,,,,,,,"Additionally, in the northwest wilderness, there are also the Yelian, Wutu, Jingang, and other sects of external ways.\nReady the troops and sharpen the weapons, gazing hungrily."
,,,右,,,,,,,"In contrast, our Wulin Zhengdao, though numerous and filled with skilled masters,\nYet they could not help but engage in intrigues and fight for their own interests."
,,,右,,,,,,,"The current situation sees the Evil Faction plotting against each other, while our Just faction is weakening itself internally.\nWith the passage of time, advantages and disadvantages shift, thus altering the dynamics of attack and defense.\nAt that time, the Wulin and all under heaven would face an urgent peril like a weight hanging by a thread."
,,,右,,,,,,,"I Guo Huai have since my service in the Beggars Sect fought over two hundred major and minor battles, eliminating countless evil forces.\nIt has been twenty-six years already"
,,,右,,,,,,,"I pride myself on upholding justice and honoring the code of chivalry.\nEarlier, I was honored to receive the title of Great Hero of Central China from all of you.\nIf you still trust me, I dare to make a proposal here."
,,,右,,,,,,,"Led by the Abbot of Shaolin, the Immortal of Wudang, and the Leader of the Beggars Sect.\nWe gather here as the Wulin rightful path, abandoning strife and sharing weal and woe, to jointly resist evil forces."
,,,无,,,人群欢呼,,,,"(The moment these words were spoken, thunderous applause erupted from the audience below, and the crowd was filled with intense enthusiasm,\nA chorus of approval echoed from the assembled warriors, all eager to follow the command of Great Hero Guo.)"
,空闻大师,,左,,,,,,,"Amituofo. Great Hero Guo is concerned with the welfare of all under heaven and his virtue benefits the multitude, and I have heard much about it from my elders.\nSure enough, it lives up to its reputation."
,张青蓬,,左,,,,,,,Since <b>Tai Yue Grand Ceremony </b>Not seen each other since over a few years after World War I.\nBrother Guo still exudes a magnificent bearing and an outstanding air.
,朱断岳,,左,,,,,,,"Old Ko, it's been a while since we two brothers had a good drink and brawl together!\nOnce this damned meeting is over, let's find a tavern to settle it once and for all."
,,,右,,,,,,,"Ha ha, let's get down to business first.\nThe three are the current leaders of the righteous Wulin, the palm masters of the three major sects.\nIf this alliance can secure support from three parties, it will be a significant success."
,空闻大师,,左,,,,,,,"The Great Hero's intention, I have already understood from the letter.\nThis matter is beneficial without harm to the Righteous Dao of the Wulin."
,张青蓬,,左,,,,,,,"I had this intention as well. If the Righteous Wulin could unite against a common enemy and face challenges together,\nThat cluster of heretics and outsiders can't even withstand a single blow!"
,朱断岳,,左,,,,,,,"…………\nOld Gui, I agree with your point as well,\nBut we still need to see what exactly the terms of this alliance entail."
,,,右,,,,,,,"I have drafted three items in total \nFirst, put aside disputes and cease warfare \nIf one faction were to suddenly declare war on another, all under heaven would condemn them."
,空闻大师,,左,,,,,,,"Amituofo,\nGreat Hero Guo's first point, while it may halt battles and killings for a time,\nHow overly simplistic and blunt this may be, it still fails to address the core of the issue."
,,,左,,,,,,,"In the Wulin, various sects inevitably clash and accumulate deep grievances over time.\nJust prohibiting attacks isn't a sustainable solution, though."
,,,右,,,,,,,"Secondly, if one sect is attacked, the other sects must dispatch disciples to support it.\nThis way, we can avoid being divided and defeated by the heterodox faction."
,张青蓬,,左,,,,,,,"Brother Great Hero had good intentions, but how to support and when to support are all just a mess on paper."
,,,左,,,,,,,"If my Wudang disciples cannot support themselves, then provide some silver, grain, and provisions.\nCould it also be considered support?"
,,,右,,,,,,,"Thirdly, the Seven Evil Men and Five Ghosts of the Black Society cause trouble and chaos in their region.\nAll sects should dispatch their elites to join in the pursuit and apprehend these villains as soon as possible."
,朱断岳,,左,,,,,,,"Old Guo, I've wanted to apprehend these dog thieves for a long time as well.\nBut the Beggars Sect lacks sufficient manpower at present. You want to dispatch its elite forces to pursue them?\nThen wouldn't the affairs of the sect and regional defense be left undone?"
,,,左,,,,,,,"If this bunch of dog thieves damages the elite forces of my Beggars Sect,\nOr cause chaos in my areas where my defenses are weak.\nCan you shoulder this responsibility?"
,,,无,,,人群交谈,,,,"(Hearing these three words, both those on and off the stage began to whisper to each other.\nExpressions of difficulty and even ridicule were commonplace.)"
,,,右,,,,,,,"These three are just spontaneous writings, meant to spark some ideas.\nFeel free to speak your mind if you have any insights.\nAll present are martial arts heroes, and with collective wisdom, we will surely reach a sound decision."
,空闻大师,,左,,,,,,,"From what I see, the first point is that the righteous factions should indeed cease their conflicts.\nBut if sects have disputes, they seek other methods to resolve them."
,,,左,,,,,,,"I believe that this dispute in the Wulin should be settled fairly by Shaolin Temple.\nThe right and wrong of the disputing parties shall be decided by the verdict.\nThis way, the disputes can be resolved at their root."
,,张青蓬,右,,,,,,,"Abbot, this isn't right \nIf all disputes in the Wulin were to be judged by Shaolin in the future,\nWho shall judge the strife of Shaolin?"
,空闻大师,,左,,,,,,,"Haha, Immortal Zhang is just joking \nThe Shaolin Temple does not interfere in worldly matters; why would we have any disputes with common folk?\nMoreover, monks abide by precepts and do not tell lies, making them the ideal judges of right and wrong."
,,,右,,,,,,,"Since Master Kongwen does not concern himself with worldly affairs,\nThe towns under the rule of Shaolin shall be managed by our Wudang Sect."
,,,左,,,,,,,"You……\nAmituofo, Brother Immortal Zhang, don't try to win a temporary argument. You might mess up the Wulin's important matter!"
,,郭淮,右,,,,,,,"Alright, let's set this first point aside for now.\nThis second point is about mutual support: when one faces difficulties, the entire group comes to aid. What are your thoughts on this?"
,张青蓬,,左,,,,,,,"In my opinion, forced alliances are never harmonious to begin with, or distant sects supporting each other across mountains and rivers.\nYou're asking too much of me"
,,,右,,,,,,,This……But only in this way can it serve to deter the heterodox sects.
,,,左,,,,,,,"Such mutual support is a matter of loyalty and righteousness, not something that can be forced.\nIf someone refuses to offer support citing a shortage of manpower or disrupted travel schedules,\nHow shall Great Hero Guo respond now?"
,,,右,,,,,,,This……And this third point is about pursuing the Seven Evil People and the Black Society's Five Ghosts.……
,空闻大师,,左,,,,,,,"I am a Shaolin disciple, reciting scriptures and meditating on a daily basis for early morning and evening prayers.\nFearing there isn't anyone so idle, we might as well hire someone else."
,张青蓬,,左,,,,,,,"I, a Wudang disciple, must also refine elixirs and cultivate the way, draw talismans, and perform rituals.\nStill unable to find suitable manpower"
,朱断岳,,左,,,,,,,"Haha, so my Beggars Sect disciples are also busy wandering the streets and alleys, begging and performing arts.\nIn the end, there's nothing we can do about it."
,,郭淮,右,,,,,,,………………
,,,左,,,,,,,"I'm called Kurasaki, and since I have thick skin, just say it already.\nWhen encountering a mad dog while begging on the street, no one is willing to be the first to take action.\nBecause those who show their heads first are often bitten the hardest."
,,,左,,,,,,,"Old Guo, what you're hunting are ruthless and desperate mad dogs who use any means necessary.\nI am in the light while the enemy is in the dark. This open arrow is easy to avoid, but hidden arrows are hard to guard against.\nSo even prestigious families and major sects don't want to stick their necks out against this group of black stars."
,,,左,,,,,,,"If the arrest fails and we lose our elite forces, how will we explain this to our fellow disciples?\nMoreover, even if the capture were to succeed by mere chance, what real benefits would it bring to our Beggars Sect?"
,,,左,,,,,,,"So, this kind of task that's not worth it in the end,\nI, the Stinky Beggar, didn't want to touch and dare not touch either."
,,,右,,,,,,,"Oh……I understand the difficulty of this matter, so I implore you three to consider the greater good of the Jianghu.……"
,,,无,,,人群交谈,,,,"(Eyeballing the three sect leaders and the Great Hero Guo, their opinions seemed to be at odds,\nBoth on and off stage, people began to bicker noisily, growing restless.)"
,玩家,,左,,,,,,,"Ah, I thought that with Great Hero Guo joining in, this meeting would surely succeed.\nUnexpectedly, even among the main schools of nobility, there are still so many intrigues and machinations."
,无,,无,,,,,,,"(Negotiations having reached an impasse, martial artists also couldn't help but blame and criticize each other,\nFinally, it gradually escalated into an argument, and the atmosphere suddenly became tense.)"
,,,右,,Fight1,,,ScreenBlack,,"Ladies and gentlemen, please listen to me for a moment.……\nHeroes present……"
,,,无,,,,,,,"(Just as the situation was about to spiral out of control, a strange melody from an unusual instrument suddenly came from the Yellow Crane Tower.\nHis voice echoed with sorrow and longing, like weeping and lamenting, leaving a lingering melody that never faded away.)"
,,,右,,,,,,,"Huh, this melody seems familiar; I've heard it at the Immortal Residence Inn."
,,,无,,,,,,,"(This melody seemed to captivate everyone's hearts, and the gathered warriors gradually ceased their arguments, concentrating on listening.\nA handsomely bearded man in a white robe, seemingly stepping through the air, descended from the top of Yellow Crane Tower.\nWhile they drifted down, they plucked the zither and sang.：……）"
,思中澜,,左,,,,,,,"Eastern Jing Province Has Righteous Warriors, Rising to Conquer Many Evils. Initially Gathering at Muye, Their Hearts Set on Xianyang.\nWith military strength not united, they hesitated and moved like geese in formation. Power and interest drive them to compete, then to mutually destroy one another."
,,,左,,,,,,,"Huangmen Brother styled himself as such and had seals engraved in the north. Plate Armored soldiers bred fleas and lice, while a million people died.\nBones lie exposed on the fields, with a thousand miles hearing no cock's crow. Of the people, but one remains; thinking of it breaks the heart."
,,,无,,,人群喊叫,,,,"(After the tune concluded, the heroes on the field appeared as if in a trance, dazed and confused,\nThose with lesser cultivation have wept aloud in despair and shouted wildly, no longer able to control themselves.)"
,,戴壮,右,,,,,,,"It's truly pleasant to listen, huh? Hehehe, it's truly pleasant."
,,王添翼,右,,,,,,,"Woo woo woo, Miss Lei, woo woo woo woowoo.……"
,,,无,,,,,,,"(You quickly covered your ears, stimulating your neigong, and struggled to resist the influence of the music.\nHow could the music still penetrate through every limb and pore, swirling chaotically along the meridians?)"
,,空闻大师,无,close,,SpeEffect/风呼啸,,SourceHeroFightInteractHero;StudyFight-FightAddPlotDataBase~230,,"(Appearance suggested losing consciousness; on the stage, a figure swiftly leaped up.\nIt was the sudden move of Zen Master Kongwen, the Abbot of Shaolin, engaging in combat with the man playing the zither in mid-air!)"
230,思中澜,空闻大师,右,,BigMap3,SpeEffect/洪钟,,,,"A fine Hao Li Xing!\nThe mournful music is filled with hidden complexities and has the power to captivate and confuse one's mind.\nMay I ask what is your honorable surname and where do you come from, master?"
,,,无,,,SpeEffect/龙咆哮,,,,"(These few sentences were emitted with incredibly profound inner power, booming like thunder,\nThe shock was so great that it hurt the eardrums of everyone present, waking them from their dreams.)"
,,,左,,,,,,,I have heard that the Shaolin Lion Roar Technique has the power to shake heaven and earth.\nToday's news is truly remarkable!\nI am Si Zhonglan from the Dayin Pavilion. I saw you all quarreling and thus resorted to such a desperate measure; please forgive me!
,,,无,,,人群交谈,,,,"(Hearing the name of Dayin Pavilion, the people on the field immediately looked surprised and murmured loudly.)"
,玩家,郭勇锐,左,,,,,,,Dayin Pavilion? I haven't heard of a sect like this in the Jianghu.
,,,右,,,,,,,"I did hear my father mention that this is a mysterious sect nestled among the dense forests and remote mountains in the southeast.\nHis disciples rarely concern themselves with the affairs of Jianghu, instead devoting themselves to the four arts of qinqishuzhuan."
,,,右,,,,,,,"Many martial artists who retire from the Jianghu also choose to hide in the Dayin Pavilion.\nThus, this sect can be said to hide dragons and tigers, and must not be underestimated.\nEven rumors suggest that its power might not be inferior to that of Shaolin or Wudang."
,,,左,,,,,,,So that's how it is \nNo wonder this unparalleled skill in piano performance is unheard of and unseen.\nEven the Abbot of Shaolin was amazed
,思中澜,郭淮,右,,,,,,,"Originally it's the Dayin Pavilion's esteemed master! How clumsy of me!\nAt the peak of Mount Tai in days past, I had a brief meeting with your master. May he be well?"
,,,左,,,,,,,"Great Hero Guo, it's an honor to meet you.\nThe Master of the Pavilion has been focusing his studies recently and has already entered seclusion for many days. Hence, he can only send his greetings through me."
,,,右,,,,,,,Thank you for your concern. May I ask what brings Brother Si here this time?\nBut do you wish to represent the Dayin Pavilion at this alliance meeting?
,,,左,,,,,,,"The Dayin Pavilion seeks seclusion from the world. Establishing alliances goes against our sect's principles.\nBut the Lord of the Pavilion, out of compassion for the fratricidal strife among the Wulin, specially dispatched me to act as a mediator."
,,,左,,,,,,,"I am but an unworthy one, and yet if I could somehow bring about this alliance meeting,\nIt is also a fortunate thing for all the people under heaven."
,,朱断岳,右,,,,,,,"Haha, you didn't sign the alliance yourselves, yet you still come to mediate in it.\nHow cheap is this! It's enough to make a beggar laugh off his teeth."
,,,左,,,,,,,"Chief Gang Leader, you speak plainly, and so do I."
,,,左,,,,,,,"Even a group of heretics and outsiders could put aside their grudges at the Black Market Conference and form an alliance.\nYou folks from the prestigious clans, who always consider the bigger picture in your daily lives,\nHow can I be inferior to heretics and sects when it comes to forming the alliance?"
,,,左,,,,,,,"One by one, each vying for advantage, nitpicking, scheming, competing for fame and profit \nSo named after chivalry, yet devoid of its substance-fear not the scorn of all under heaven if this were to be known?"
,,,左,,,,,,,"In my opinion, we might as well not call this the Chivalrous Heroes Conference.\nWhy not change the name to Loot Distribution Party?"
,,,无,,,人群交谈,,,,"(The moment these words were spoken, the crowd below immediately erupted in outrage, their shouts echoing loudly.\nThere was a clear intent to dispatch this man who had spoken so recklessly on the spot.)"
,,空闻大师,左,,,,,,,"Master Kongwen, as the Avatasa Sutra says,：Rebirth and death intertwined. Mutual consumption in wicked karma. This continues into the far future.\nYou owe me your life. I repay you with my debt. Due to this cause and effect, I shall be reborn among the living and dead for countless lifetimes."
,,,左,,,,,,,"If various factions could cease warfare and killing,\nIt is an immeasurable act of merit and virtue to propagate the Dharma and benefit living beings. How could Abbot fail to support it wholeheartedly?"
,,,右,,,,,,,"Amituofo. Benefactor, you speak truly.\nOne could cease fighting and killing, but it does not resolve the conflicts within the sect.\nSo the old monk suggested we settle such disputes by having Shaolin make a ruling."
,,,左,,,,,,,"Abbot's sincere effort is to save all beings; I understand.\nAs the Diamond Sutra says, Thus it is extinguished and liberated innumerable, immeasurable, boundless beings; yet no beings are actually liberated or extinguished. Why? O Subhuti!\nIf a bodhisattva has the perception of self, other, being, or longevity, then they are not a bodhisattva."
,,,左,,,,,,,"Buddha says all beings are equal, and everyone can become a Buddha.\nAbbot, if you attempt to settle disputes for all under heaven with the Shaolin's single perspective,...\nIt was when one developed a discriminatory heart, an attached heart, and a judgmental heart, yet lost the heart of equality."
,,,右,,,,,,,"Amituofo. What good strategy do you have in mind, benefactor?"
,,,左,,,,,,,"Now that the great battle on Mount Tai is ongoing and its aftermath has yet to settle, it is a time for cultivation and recovery.\nIn my humble opinion, this truce agreement should <b>Every five years</b>，\nDiscuss at the appropriate time; this way we can adapt to circumstances and make flexible responses."
,,,左,,,,,,,"During the ceasefire, if disagreements arose between the two factions, minor issues could be resolved through mutual negotiation.\nAnd major matters can be left to Great Heroes like Guo, as well as the Shaolin, Wudang, and Beggars Sects to deliberate together."
,,,左,,,,,,,"Believe that with the reputation and integrity of Great Hero Guo and the leaders of various sects as guarantors,\nThe verdict will undoubtedly win the admiration and conviction of all in the Wulin."
,,张青蓬,右,,,,,,,"In this case, our Wudang can also adhere to the principle of moderate impartiality to make a decision.\nThis method is feasible"
,,朱断岳,右,,,,,,,"We in the Beggars Sect have always favored collective effort and wisdom. If Jianghu disputes could be resolved by a joint decision of several major sects,\nI'm sure it can be handled properly"
,,,左,,,,,,,"Regarding this second pact, which demands that all support one in distress, I believe it is indeed inappropriate.\nAfter all, if two sects have long-standing grudges or are separated by thousands of mountains and rivers,...\nForcing them to support each other might be asking too much."
,,,左,,,,,,,"As Immortal Zhang said, this act of support is a matter of loyalty and righteousness.\nIn my opinion, it should be limited to <b>Brothers in different sects mutually support each other.</b>，\nSpecific agreements will be negotiated by each sect. This approach is more practical and helps avoid unnecessary disputes."
,,郭淮,右,,,,,,,"This may weaken the treaty's effectiveness, but it is not an unsuitable temporary solution.\nHow do several of you feel about this?"
,,朱断岳,右,,,,,,,"To forgive one's enemies, how should one repay those who have been kind?\nI think, Brother Sects should support each other but not interfere with those that don't oppose them. This is a good idea!"
,,张青蓬,右,,,,,,,Supporting fellow sects is only fitting \nEveryone must put in both money and effort for the alliance to be deeply ingrained and widely promoted.\nWe of the Wudang Sect must set an example and actively respond.
,,空闻大师,右,,,,,,,"Monks should support their fellow sects with compassion, as it is a duty they ought to fulfill.\nThis second clause of the pact, I also agree with."
,,,左,,,,,,,"This third one……Ah,<b>Elite forces from various factions suffered heavy casualties in the battle on Mount Tai several years ago.</b>。\nDemanding that all factions use their remaining elite forces to chase down the fugitives is indeed unkind."
,,郭淮,右,,,,,,,"But these seven wicked individuals and myriad evil forces have taken advantage of the emptiness in the Mainstream Martial Arts sects' strength to create havoc and bring calamity upon the Wulin for a long time.\nIf we allow them to become too powerful now, it might be difficult to eliminate them later."
,,,左,,,,,,,"Co-Hero's concerns are not without merit. As they say, fostering a tiger can bring endless harm.\nBut I have a method to resolve this situation.\nAlthough the various factions currently lack manpower, there are still many righteous individuals in the Jianghu who can be put to use."
,,,左,,,,,,,"If the three major sects jointly issue an order <b>Wanted Notice in the Jianghu</b>, Call upon those who wish to join to hunt down the villains and protect the people.\nThis way, there is no need to deploy the elite forces of the major sects."
,,,左,,,,,,,"Of course, Great Hero Guo must also step forward to vouch for it, along with the three major sects to make a joint pledge.\nRegardless of origin or sect, a generous reward awaits those who apprehend the villains.\nSo as to inspire the Jianghu folk to bravely confront villains."
,,郭淮,右,,,,,,,This……It's naturally best to leverage the power of those in the Jianghu.\nI wonder if the three Sect Leaders agree with this?
,,空闻大师,右,,,,,,,"My Shaolin secret texts are vast and boundless.\nIf there are truly righteous warriors who can subdue demons and evil spirits for the sake of the people,\nI am willing to offer appropriate rewards as encouragement."
,,张青蓬,右,,,,,,,"My Wudang Sect has quite a few Heart Method incantations as well.\nMoreover, there are countless elixirs and magical medicines that can strengthen one's resilience and prolong life.\nI would also be willing to offer among these treasures as rewards for those who expose evil and punish wrongdoing."
,,朱断岳,右,,,,,,,"I have always hated evil with a passion. If there are righteous warriors who can root out the wicked, they shall be my brothers in arms!\nWhatever the Beggars Sect can obtain, mountain delicacies and sea treasures, fine silk and satin-whatever he wants, I'll give him!"
,,,左,,,,,,,"Haha, don't worry about it for now. We can discuss the exact details of the bounty another day.\nBut doesn't everyone already agree to these three revised treaties now?"
,,郭淮,右,,,,,,,"Indeed!\nThen let us seal this alliance with the new three agreements, shall we?"
,,空闻大师,右,,,,,,,"Amituofo. Well said, well said. I, an old monk, hereby represent the Shaolin Temple to establish this alliance."
,,张青蓬,右,,,,,,,We of the Wudang Sect agree
,,朱断岳,右,,,,,,,Flower-child has no objections!
,,,无,,,人群交谈,,,,"(Seeing that the alliance agreement has been revised to be reasonable, and the three Sect Leaders have already reached a consensus,\nThe warlords naturally also assessed the situation, and there was a chorus of approval both on and off stage.)"
,,郭淮,右,,,,,,,"Good, to uphold the righteous path of the Wulin and protect all under heaven, I Guo Huai hereby make this alliance with you.\nAgreement one: Our sect of the Wulin will henceforth put aside our grievances and be as brothers.\nCease all hostilities and prohibit attacks for five years."
,,,右,,,,,,,Alliance Part Two: Brother Sects Bear the Obligation of Mutual Support.\nAny party that is attacked should be immediately aided by the other Sect Brothers.
,,,右,,,,,,,"Agreement Part Three, led by me, with contributions from the three Sect Leaders.\nIssue a wanted notice in the Jianghu for the Seven Evil Ones, Black Society's Five Ghosts, and all other evil forces and heretics.\nThose who punish evil doers shall be rewarded regardless of their background or sect!"
,,,右,,,,,,,"These three alliances form the foundation of our Wulin's unity and security.\nMay heaven and earth bear witness, and let the gods see.\nAny who violate the pact shall be struck down by heaven!"
,无,无,无,黄鹤楼,,人群欢呼,,,,"(Among the crowd, everyone is enthusiastic, raising their arms and shouting loudly：Long live! Long live! Long live!)"
,,,无,,,,,,,"(Servants approach to distribute wine bowls. The heroes recite their oaths beneath the Yellow Crane Tower, sharing a blood pact.\nIts roar shook the heavens and trembled the earth, causing the river to flow backward.)"
,,,无,,,,,,,"(Soon the leaders of various sects continued to deliberate until late into the night before finalizing all details.\nCoordinated by Guo Huai the Great Hero, craftsmen inscribed the alliance on a stone tablet and erected it beneath Yellow Crane Tower as a memorial.)"
,,,无,,,,,,,"(This conference is known as the Yellow Crane Alliance to the world.\nSince then, the nobly named and righteous sects have waved the banner of chivalry.\nConfront all those ambitious heretics while safeguarding the order of the Jianghu.)"
,,,无,,,,,,,"(In the five years since then, while nominal peace was achieved among various sects and schools.\nBut beneath the surface of the Jianghu, tensions continued to simmer and conflicts arose frequently.\nThe covenant's effectiveness diminishes over time until it fades into obscurity-this is a tale for another day.)"
,,,无,,,,,ScreenBlack,,"(But at this moment, everyone was still immersed in the joy of the initial agreement,\nMany sects even went so far as to decorate and celebrate for several days.\nOnly a few with sharp senses caught the scent of change in the air, like mountains about to rain and winds filling the buildings.)"
,戴壮,郭勇锐,左,close,,,,,,"Shaolin Abbot, Wudang Palm Master, Beggars Sect Leader \nSeeing three martial arts greats today truly makes my death worthwhile."
,,,右,,,,,,,Is it even worth dying for? That's all you care about?\nI want to have a go at them someday too!
,王添翼,,左,,,,,,,"Haha, if you can show them some skills and not get knocked down,\nI'll write the King in Wang Tianyi's name upside down for you!"
,,,右,,,,,,,"Okay, deal!\n……Oh, so it's still King, right?"
,玩家,,左,,,,,,,"But I must admit, I truly didn't expect this alliance to be ultimately concluded thanks to the Dayin Pavilion's desperate efforts."
,,戴壮,右,,,,,,,"Well, I hope everyone can live in peace under this pact for some time.\nStop fighting all day long, life and death against each other."
,,,左,,,,,,,"Brother Dai truly has a kind heart, alas,……\nThere are no eternal friends or eternal enemies in this world!"
,,郭勇锐,右,,,,,,,"This said, I see that we four brothers are forever friends!\nNo one opposing it works either!"
,王添翼,,左,,,,,,,"Haha, Brother Guo, your words are truly not bad!\nWalk, walk, walk; let's set up a table today and have a good drink to celebrate this grand event!\nNot drunk, not home! Enjoying myself!"
,,戴壮,右,,,,,,,"OK, but I still have some Beggars Sect business to attend to.……"
,,郭勇锐,右,,,,,ChangeHeroFavor;王添翼-5|ChangeHeroFavor;戴壮-5|ChangeHeroFavor;郭勇锐-5,,"Brother Dai, don't be discouraged!\nMy drunken fist fight might not be refined, but my alcohol tolerance is quite impressive.\nToday, I'm going to get all three of you drunk until you're thoroughly trashed!"
231,玩家,戴壮,右,,,,,,,"Oh dear, oh dear, what are we to do?……"
,,,左,,,,,,,"Brother Dai, what difficulties do you have? Let me hear about them."
,,,右,,,,,,,"Ah, Master is a man of unquenchable thirst for alcohol.\nA few days ago, he suddenly instructed me to go fetch him a bottle of fine wine."
,,,右,,,,,AskForWinePlot,,"But I don't drink very often, where should I look for him?……\nIf the mission fails, I'm likely to get another round of scolding."
232,吴谋,王彪,右,,,,,,,"Encountering the Yellow River Dual Evils, consider yourselves unlucky today.\nDo you three want money or your lives?"
,,,左,,,,,,,"Bandit, spare me, bandit, spare me, wailing……\nHaha, ha ha ha ah ha ha!"
,,,右,,,,,,,Hm? Why are you crying and laughing at the same time? Maybe you've gone mad from being scared by me?
,,,左,,,,,,,"Hmph, you've fallen for it! Everything was within my Wu Mou's calculations."
,,,左,,,,,,,"We intentionally posed as wandering merchants, just to lure you in.\nSure enough, these Yellow River Dual Fiends have fallen into our trap!"
,,,右,,,,,,,"Damn, what big ambitions!\nI, Huhe Dual Evils, have dominated the underworld for over a decade, and I've never come across someone this oblivious."
,,马悍,右,,,,,,,"What are the three of you, exactly?"
,郝大力,,左,,,,,,,"Invincible Fist, Hao Dali!"
,汪财,,左,,,,,,,"Rich beyond the kingdom, Wang Cai!"
,吴谋,,左,,,,,,,"Ingenious beyond measure, Wu Mou!"
,,马悍,右,,,,,StartSpeFight;38,,"What in the world, here comes trouble!"
233,吴谋,,左,,,,,ChangeInjury;吴谋-0-15,,"Ouch, you damn dog, actually dared to injure me! I need to come up with a plan to get out of this quickly.……"
,汪财,,左,,,,,ChangeInjury;汪财-0-15,,"Two Senior Brothers, spare me, spare me! I have all the money on me-over thirty taels!"
,郝大力,,左,,,,,ChangeInjury;郝大力-0-15,,"Two brothers, you go ahead. Hao Dali will fight them!"
